,0,1,2,3,4,5
54,0.012,0.036,0.076,4.395910622679341,6.931315836978534,0.204324722
55,0.012,0.017,0.049,4.73675521288351,8.008457376797093,0.085353851
56,0.399,1.175,1.597,4.250903911502549,7.268215547557359,0.546693802
57,0.012,0.035,0.084,4.687052764870968,7.728149672893232,0.193834305
58,0.013,0.016,0.05,3.863682704217958,8.051289154631338,0.084161758
59,0.089,1.7,1.733,10.425794800958796,18.203627433950796,0.497102737
60,0.345,0.849,1.001,2.9352948587839163,4.821264114816411,0.221014023
61,0.015,0.025,0.077,2.7956341261409388,4.638074313214091,0.164747238
62,0.013,0.012,0.04,3.23154377158556,4.937540002024312,0.066757202
63,0.251,0.084,0.419,11.000991009262153,22.1014490248625,0.241518021
64,0.379,0.945,1.16,2.5826950745266193,4.837165802339868,0.240087509
65,0.013,0.026,0.076,3.2664286551619703,5.4419540187412965,0.166893005
66,0.013,0.012,0.044,3.237426112629534,4.973387940295566,0.066518784
67,0.39,0.519,1.089,2.1807488897058422,3.8803164162616777,0.231981277
68,0.012,0.013,0.068,1.9632998496556227,3.879874668914865,0.14591217
69,0.014,0.007,0.049,2.126874471455607,3.533579077582629,0.056743622
70,2.285,3.769,3.389,2.627419346714915,4.766367276854322,0.435829163
71,0.032,0.027,0.053,2.7170103506627843,5.479602890592609,0.159740448
72,0.011,0.011,0.031,2.926748440262294,5.170576507909934,0.066280365
73,0.369,0.925,1.08,2.617311772018544,4.882418668277964,0.236988068
74,0.013,0.027,0.044,2.51250888688821,5.073773111916646,0.163793564
75,0.012,0.011,0.052,2.8851089274698833,4.921029739785883,0.066518784
76,0.447,1.094,1.196,3.912715996936503,6.787909840015059,0.435829163
77,0.081,0.037,0.084,4.609282972778544,7.306909294037069,0.197887421
78,0.012,0.017,0.054,4.250440770352424,7.744118455679658,0.085353851
79,0.381,1.362,1.663,4.67777698379413,7.998826510697123,0.548839569
80,0.013,0.037,0.084,3.8499791220147053,7.3679932219578985,0.195503235
81,0.012,0.017,0.052,4.442869254233634,6.913481892146354,0.085830688
82,0.088,1.911,1.841,12.19909575380912,21.318204366071964,0.557422638
83,0.363,0.988,1.09,2.7518174671026623,5.303996296965483,0.238180161
84,0.013,0.026,0.049,3.2714975998172107,4.5629121207251115,0.167608261
85,0.015,0.013,0.03,2.6028329538151866,4.762176178704126,0.066041946
86,0.243,0.101,0.484,11.271669996655325,21.750852639339264,0.226736069
87,3.04,12.827,10.212,3.402963941082712,7.394505504449122,2.09403038
88,0.013,0.053,0.112,3.331988783836444,7.528604636931646,0.18119812
89,0.014,0.019,0.057,4.376563065126146,6.419042952142142,0.082731247
90,0.392,1.187,1.256,3.095876168731453,5.0148705758612975,0.237941742
91,0.013,0.025,0.068,2.509402776858757,4.9160397002618295,0.161647797
92,0.013,0.013,0.042,3.0016964778205852,5.0327824955360585,0.065326691
93,0.4,1.025,1.218,4.6945554781770245,7.420119411068973,0.430822372
94,0.013,0.035,0.069,3.6950132338943162,7.512435104156092,0.200271606
