,0,1,2,3,4,5
0,0.0,0.0,0.0,0.031427862408474054,0.06787517349466794,0.0
1,2.062,0.757,0.9793040398229844,2.011638498489056,3.887633041886129,4.157781601
2,0.032,0.123,0.24700833274536604,1.9810675246576996,4.052851261484516,0.252485275
3,1.56,3.742,5.139005060543129,1.9922871010101535,4.528366217940309,1.150846481
4,0.098,0.145,0.3176335748491778,2.025131975905302,4.1594646176359555,0.160455704
5,0.859,2.775,2.8655601983569365,2.004923122401107,3.982761402576388,0.801324844
6,0.025,0.142,0.14722832961991414,1.9770948433760234,3.9317357091302,0.152826309
7,1.187,2.762,5.329361986476111,2.0006816651926105,3.8345168851060145,0.791072845
8,0.026,0.144,0.3186421322687767,2.003203630898204,4.157872147181504,0.151395798
9,1.128,2.689,4.640583581533575,2.0102160587572664,3.848004249772409,0.789403915
10,0.029,0.143,0.1874260274100011,1.97531632057931,4.107652436500629,0.149965286
11,1.2,2.784,3.8826479123097606,2.023756346178832,4.310171734953992,0.78868866
12,0.027,0.143,0.2924026795259602,2.0298906955230307,4.378755204347296,0.149965286
13,1.344,2.698,4.259746611256941,2.0018629929129235,3.874645724262473,0.7853508
14,0.026,0.141,0.27752713483512953,1.99920690981174,4.142836988064244,0.150918961
15,1.084,2.649,4.492392239482866,2.0174872091399876,4.152846795695871,0.784873962
16,0.029,0.163,0.22372403347927688,2.0186252314639903,4.518146823787564,0.154733658
17,1.479,2.635,5.117139877556074,1.9647731665189454,3.9683022837844657,0.786066055
18,0.131,0.142,0.2909629036406497,2.032474093117072,4.383211637627568,0.149011612
19,1.22,2.659,2.936991640888097,2.022351319815777,4.040646671181588,0.785589218
20,0.027,0.144,0.27295583794543754,2.0142809770654337,4.545396404965951,0.150918961
21,1.094,2.648,5.356671002067839,1.9936210170072401,3.977710356382324,0.787258148
22,0.027,0.143,0.2801839207232205,1.9772611015681893,4.273065088320299,0.151157379
23,14.6,55.233,59.08176417129947,8.103665000448562,16.00259825028048,5.502700806
24,0.556,0.296,0.3643116823536686,8.027112011427068,15.185042382337882,0.525712967
25,6.513,13.18,29.025250561497774,8.012230805223366,16.535725903549036,5.730390549
26,0.08,0.327,0.7888323128943017,8.048941283373857,15.209744613505018,0.522613525
27,3.029,13.566,31.929259068134627,8.130292717110448,16.3394036278742,5.587339401
28,0.082,0.243,0.4815421154118975,7.865348238567805,15.903021240400268,0.522851944
29,3.357,10.625,18.221354273659333,8.051116823574532,17.563103019523545,5.27215004
30,0.072,0.25,0.5483526342167694,8.045624600947036,16.357669915976185,0.519752502
31,2.799,10.362,17.88092364543249,7.95853532991188,18.25832235988122,5.248785019
32,0.081,0.288,0.5951069108191659,8.075038192265255,17.87385814197984,0.517845154
33,5.813,13.784,32.34923603333266,8.129946785087185,17.155039532244945,5.223751068
34,0.075,0.258,0.5320480861369669,8.032116362043277,16.71556081317981,0.516891479
35,3.103,10.644,13.09892693864787,7.929194335406224,15.95877543312498,5.218505859
36,0.082,0.226,0.533015633693886,8.08568158905542,18.27297114574176,0.516891479
37,2.867,10.493,20.37427871602196,7.9198533496872034,15.448823977682927,5.237579346
38,0.077,0.248,0.4997763516272384,7.958695487689292,17.0341734063417,0.517129898
39,3.013,10.38,12.170619707885894,7.929660717400364,15.967750045810748,5.216598511
40,0.083,0.251,0.3057050748407923,8.093636617434385,15.311866354486597,0.516891479
41,2.827,10.264,15.659422340362834,7.93453659786687,16.5726768926834,5.212783813
42,2.13,0.227,0.3533902071972128,7.96618758042643,15.536099576887002,0.517845154
43,17.536,10.464,13.596528000189185,7.885277431577939,15.379576193004722,5.22351265
44,0.083,0.241,0.4241868341804833,7.884823438491173,16.713167634686123,0.520706177
45,59.965,192.676,264.61487705452043,31.78992800341196,65.7778529087631,15.72728157
46,2.182,0.968,2.029724668216017,31.891173804608975,67.73775959850853,1.997947693
47,4.774,24.293,49.68859973827645,0.5033728558843058,1.0187718323199026,7.299184799
