,0,1,2,3,4,5
0,0.0,0.0,0.0,4.843485852927085,9.227536220256114,0.0
1,16.035,7.865,8.989,106.31897127978833,202.37859800383924,11.34943962
2,0.435,2.021,1.17,106.59660042602019,196.1219122750632,3.124475479
3,27.597,38.141,45.857,100.58050813258339,198.01897834308858,23.55742455
4,0.197,0.659,1.133,105.16933621184108,198.66706363364978,3.060817719
5,5.568,3.922,11.647,24.58730750874473,51.30846809285331,2.744674683
6,6.268,10.939,20.252,53.428538861671434,101.3102441867734,11.21234894
7,0.054,0.136,0.65,50.36394310552822,101.55840034068261,1.552343369
8,6.021,8.89,26.997,52.117938001659,101.81759305038534,15.68770409
9,0.056,0.57,0.687,49.430308853537866,99.29895795732854,1.547813416
10,5.45,1.109,1.435,13.060989121287902,25.059739159841026,1.355648041
11,2.864,6.116,12.022,25.071494134058554,50.890666131004636,6.104946136
12,0.019,0.046,0.38,26.243214216516705,51.13022942447135,0.79536438
13,3.009,6.719,21.94,26.109027963710783,49.11042701564388,9.456396103
14,0.019,0.047,0.371,24.521622080380165,50.48135982240731,0.788450241
15,7.513,6.469,21.984,25.063125827918235,50.02736791828256,9.440898895
16,0.019,0.094,0.374,24.937760584558482,49.5163730039817,0.787734985
17,7.449,7.503,21.544,25.378274758544702,49.96717206696713,9.457111359
18,0.022,0.094,0.382,26.032504105350693,49.668342987977354,0.786781311
19,0.037,0.07,0.449,6.3150572901085615,12.288203995103997,0.699043274
20,1.499,3.973,10.962,12.68516472002459,25.376019682178846,4.368305206
21,0.014,0.021,0.223,12.81546536420733,25.450095426284072,0.411987305
22,3.123,7.211,21.696,12.280041701656923,24.914162374080266,7.393598557
23,0.013,0.016,0.223,13.393948449553209,25.598700589369354,0.425100327
24,2.842,6.199,21.803,13.093889834787591,25.554736901314175,7.410526276
25,0.013,0.043,0.224,13.257063886621298,25.40473682691104,0.412225723
26,2.766,6.082,21.096,12.26200463617905,25.158202180797844,7.395029068
27,0.014,0.04,0.211,13.218320593261389,25.212503387448425,0.409841537
28,0.025,0.071,0.323,3.1784509720865706,6.361403728993037,0.371456146
29,2.529,2.278,7.49,3.3553063529311022,6.206386704375887,2.437114716
30,0.012,0.007,0.075,3.15677708535571,6.244200761991043,0.129938126
31,2.862,2.031,6.993,3.0760745905986893,6.131902994250189,2.430200577
32,0.014,0.007,0.077,3.272216412241682,6.32244154310602,0.128984451
33,2.203,1.994,6.983,3.2512017939738818,6.095221481553976,2.423048019
34,0.012,0.008,0.073,3.0693142235009883,6.235879038695251,0.127792358
35,2.161,2.008,7.038,3.188909454064813,6.280734244713305,2.419471741
36,0.012,0.008,0.072,3.1118153436836007,6.389792554862739,0.127792358
37,0.022,0.034,0.114,0.8231233456416722,1.5291554432445122,0.12588501
38,0.017,0.253,0.045,0.8082217624393345,1.5983570197929378,0.050783157
39,44.157,28.373,45.973,0.12690970708786858,0.26079721116784477,3.881454468
40,1.208,0.013,0.054,0.13619829149375118,0.25594093748688274,0.048875809
41,1.899,4.275,7.835,0.13063664892373808,0.25867293997533697,0.390291214
42,0.02,0.016,0.051,0.13408961166022576,0.25862194321107457,0.040054321
43,3.291,1.018,1.984,0.0320254904448153,0.06406522575476475,0.182628632
