,0
0,0.16658340549056672
1,0.12411898231565793
2,0.13480809448279674
3,0.16696158206082043
4,0.10767139319188714
5,0.16187359460687245
6,0.1789762930319131
7,0.08989476194945331
8,0.09760880790761532
9,0.10146750998879997
10,0.20953755919118572
11,0.180687865915887
12,0.1848140907119315
13,0.20801225218994834
14,0.21910608307888238
15,0.14967524763971987
16,0.12297294343930766
17,0.08760001358781491
18,0.10078613825475094
19,0.12723734519332502
20,0.09747941849375813
21,0.1311055692426309
22,0.148442180595814
23,0.12689341098229612
24,0.15878457943893898
25,0.11020461029055602
26,0.0691469807856068
27,0.16743418605686283
28,0.09205899121652228
29,0.14983685817405062
30,0.0669230479666792
31,0.13387959613249167
32,0.1358083260705529
33,0.13970912435153643
34,0.13098565171675658
35,0.10919205876136187
36,0.15793153068696153
37,0.09056323561065857
38,0.09839668520209256
39,0.13485057696634464
40,0.10818474771845582
41,0.11916374333940828
42,0.09488325389008487
43,0.10409404484965072
44,0.16102252209442053
45,0.09488025867274508
46,0.1015054233571454
47,0.10229059801196706
48,0.10405047915779224
49,0.1779439112010769
50,0.11860735471818261
51,0.13156519188915544
52,0.10709679055992041
53,0.17763749897680245
54,0.10615962390502469
55,0.08977302006194485
56,0.11934454181428049
57,0.12344029425773535
58,0.14611317585348915
59,0.09407361017807697
60,0.1169533627139267
61,0.09601888150646867
62,0.09180752277488538
63,0.12975824055085203
64,0.10773230458952118
65,0.13530894735823773
66,0.16935265406298045
67,0.12580741670291481
68,0.10657270025206207
69,0.10543277506908105
70,0.11836910753964722
71,0.13040829612271437
72,0.1287984425709251
73,0.061297066348703154
74,0.14076013319646236
75,0.14662289792244165
76,0.13938889343085925
77,0.11829763065146802
78,0.10327657636413827
79,0.1674243811567538
80,0.10784335464276268
81,0.09345823615206353
82,0.14790486191497365
83,0.13026702711127808
84,0.15984538047637004
85,0.15190355286435886
86,0.11873370389791996
87,0.14935542836773913
88,0.14069003440646108
89,0.11356209942953141
90,0.11950126750153332
91,0.13309092839145076
92,0.16070415637938135
93,0.07826503910447748
94,0.11206925495762135
95,0.1721005361881746
96,0.15447981841298258
97,0.11710431917384807
98,0.09165034403995012
99,0.16042815027222374
100,0.13637453889487458
101,0.14387707849416326
102,0.11125727625485099
103,0.13887521244423107
104,0.1032522657052499
105,0.1537233368079879
106,0.12538419140272677
107,0.16493984889515004
108,0.09309270474037164
109,0.07582005851144269
110,0.12945790920313982
111,0.1474808529108968
112,0.1813834016808027
