,cloud_time,edge_time,tran_time,wait_time_1,wait_time_2
0,-1.0,0.0,0.023582314174458826,1.0406087175299372,1.0293431282043457
1,-1.0,0.043,0.0032666430529664273,1.094759958414522,1.0439677238464355
2,0.0007278919219970703,0.043,0.0065983277630901295,0.07603268327715902,0.028730154037475586
3,0.0007278919219970703,0.043,0.0032173120386187345,0.07790256557910412,0.028271913528442383
4,0.0007278919219970703,0.043,0.003782477202234381,0.07425238034073245,0.027901649475097656
5,0.015778064727783203,0.0,0.02446212679633299,-0.0023771667805551656,0.00429987907409668
6,-1.0,0.0,0.015665961713278546,1.0921450655823917,1.0702064037322998
7,0.0007278919219970703,0.043,0.004545930317275835,0.06852169568970592,0.022991180419921875
8,0.0007278919219970703,0.043,0.006075633786370238,0.07024595045843421,0.022267818450927734
9,0.0007278919219970703,0.043,0.002512085245678184,0.07089087688956941,0.02121758460998535
10,0.03312397003173828,0.0,0.034645589510062046,0.03555571627844455,0.031569719314575195
11,0.03312397003173828,0.0,0.02310921679118107,0.034733599489897626,0.029473066329956055
12,0.0007278919219970703,0.043,0.004835555181467518,0.062856586349058,0.017577409744262695
13,0.03312397003173828,0.0,0.031032510242783175,0.033008830178260486,0.027178525924682617
14,0.0007278919219970703,0.043,0.007069672235666373,0.06230007172333664,0.014417648315429688
15,0.0007278919219970703,0.043,0.004997963620783483,0.06411401887935098,0.014996051788330078
16,0.03312397003173828,0.0,0.015570736313301243,0.05484004498290037,0.025380611419677734
17,0.03312397003173828,0.0,0.027095652196265457,0.01843566214375986,0.015266895294189453
18,0.03312397003173828,0.0,0.016221355217028926,0.021943713672143723,0.018019676208496094
19,0.0007278919219970703,0.043,0.002581382589416356,0.054618350516302955,0.0061457157135009766
20,0.0007278919219970703,0.043,0.004471490709279721,0.05127945266453678,0.005584239959716797
21,0.0007278919219970703,0.043,0.0025999244016339774,0.05376242174775553,0.005811452865600586
22,0.0007278919219970703,0.043,0.005965737951497484,0.0523068411052861,0.005599021911621094
23,0.0007278919219970703,0.043,0.0034545892068520738,0.05401753337051128,0.0051784515380859375
24,-1.0,0.043,0.0035003095909336888,1.1123093164802385,1.0622389316558838
25,0.0039522647857666016,0.043,0.0029643376424560042,0.09932203004057635,0.05145978927612305
26,0.03312397003173828,0.0,0.0363811873658228,8.018554535388356e-06,0.009246826171875
27,0.0039522647857666016,0.043,0.0032236883620211437,0.09556173647475232,0.04851222038269043
