,cloud_time,edge_time,tran_time,wait_time_1,wait_time_2
193,0.027138710021972656,0.043,0.031229033459890237,0.029905032525340384,0.03845667839050293
194,-1.0,0.043,0.05588373564976021,1.066802568196082,1.0873866081237793
195,0.025082826614379883,0.043,0.023188640653941425,0.0777627369425607,0.04978346824645996
196,0.025082826614379883,0.043,0.036716385325509845,0.03751971880300253,0.03857254981994629
197,-1.0,0.043,0.029492606841440012,1.09062102822973,1.0884673595428467
198,0.025082826614379883,0.043,0.022108781934270173,0.022702852754219762,0.01646137237548828
199,0.027561426162719727,0.043,0.029211719602706104,0.01735663701658076,0.03773069381713867
200,0.027561426162719727,0.043,0.040527024235371224,-0.021780062268372445,0.02683258056640625
201,-1.0,0.043,0.027242792156318814,1.1020750428057875,1.0740447044372559
202,0.024695396423339844,0.043,0.03235462097708778,0.06484799146888798,0.03913378715515137
203,0.024695396423339844,0.043,0.033938306647842545,0.041520063750753955,0.02712559700012207
204,-1.0,0.043,0.02246974774772099,1.0730976411754556,1.0776376724243164
205,-1.0,0.043,0.033642792798714696,1.109116411123929,1.0971481800079346
206,0.0288848876953125,0.043,0.027354387983952802,-0.016118088116961915,0.024812698364257812
207,0.024274826049804688,0.043,0.045818664147010364,0.05948406331718548,0.04913687705993652
208,0.024274826049804688,0.043,0.03391087561040333,0.052594954001248806,0.03693842887878418
209,-1.0,0.043,0.05300940949919003,1.0444941767302354,1.0869174003601074
210,0.024274826049804688,0.043,0.05483948030581817,-0.00670554902437942,0.014750242233276367
211,0.029833316802978516,0.043,0.019506543098423566,0.026534344188900532,0.034696102142333984
212,-1.0,0.043,0.0627198704250353,1.081603435292716,1.0859432220458984
213,0.024360179901123047,0.043,0.033608741604196746,0.06657194707198875,0.05045294761657715
214,0.024360179901123047,0.043,0.03336117345667957,0.06328177035656193,0.03733038902282715
215,0.024360179901123047,0.043,0.027913942270793524,0.05653414762232918,0.026585817337036133
216,-1.0,0.043,0.04568620501758304,1.056094215336646,1.0744822025299072
217,0.02672266960144043,0.043,0.023676856384565615,0.03187901473055432,0.036864280700683594
218,-1.0,0.043,0.056643588023324844,1.0826357709229106,1.081207275390625
219,0.02672266960144043,0.043,0.021167654952696763,0.016200569317439725,0.014610528945922852
220,0.022379398345947266,0.043,0.035182564962027284,0.027958384103300225,0.03622317314147949
221,0.022379398345947266,0.043,0.022251568993168797,0.04671560149025496,0.0255277156829834
222,-1.0,0.043,0.021144178728133293,1.0372312070473242,1.071178674697876
223,0.02593064308166504,0.043,0.020291939659741475,0.05081812593857546,0.034668684005737305
224,0.02593064308166504,0.043,0.024403562458270783,0.010578582128037823,0.023229122161865234
225,0.02593064308166504,0.043,0.02184596084169509,0.001842945837600054,0.01300954818725586
226,-1.0,0.043,0.03298215544920043,1.0788517665605886,1.065988302230835
227,0.031722068786621094,0.043,0.01904998290524625,-0.0012552346644808011,0.022870302200317383
228,0.031722068786621094,0.043,0.03396667041509555,0.001441533074647526,0.011834144592285156
229,-1.0,0.043,0.03281171591051135,1.077651267282557,1.0639936923980713
230,0.02538895606994629,0.043,0.031150887552033688,0.031186882997926862,0.026747703552246094
231,0.02538895606994629,0.043,0.030371812715993637,0.0254175161158363,0.015028953552246094
232,0.027814626693725586,0.043,0.03125527188808878,-0.008348794907484212,0.03576064109802246
233,-1.0,0.043,0.02848915901983868,1.0899952922585174,1.0850505828857422
234,0.024285316467285156,0.043,0.027205627108425463,0.04876257774058143,0.04879903793334961
235,-1.0,0.043,0.044737640277008626,1.0878670065729974,1.0999250411987305
236,0.024285316467285156,0.043,0.058376051229802266,0.01396113144986496,0.024317264556884766
237,0.029474258422851562,0.043,0.026455435339543937,0.020232196507679625,0.04621767997741699
238,-1.0,0.043,0.0447642685928735,1.099628280570454,1.098661184310913
239,0.0254514217376709,0.043,0.02445679331343904,0.07656095927332923,0.06173896789550781
240,0.029474258422851562,0.043,0.0543598296911605,0.001466153684857724,0.012233734130859375
241,0.0254514217376709,0.043,0.052107767880899325,0.046618985504737406,0.03842663764953613
242,0.028558969497680664,0.043,0.023567289351233416,0.026497210935949,0.0606999397277832
243,0.0254514217376709,0.043,0.027770407232161717,0.012929168569131302,0.015605449676513672
244,-1.0,0.043,0.022251716712100064,1.1221986919660933,1.0975468158721924
245,0.024308204650878906,0.043,0.026925066376386583,0.08233602736111632,0.06209993362426758
246,0.024308204650878906,0.043,0.0491372368539952,0.037034578498642855,0.05003523826599121
247,0.024308204650878906,0.043,0.02671603048990047,0.07452781817804274,0.039113759994506836
248,-1.0,0.043,0.020302855449918587,1.0753808579365562,1.088623285293579
249,0.02820110321044922,0.043,0.0250132740513525,0.04532658691065885,0.04948234558105469
250,0.024308204650878906,0.043,0.023870077184072858,0.04286817722295154,0.006148338317871094
251,-1.0,0.043,0.038682175130626384,1.1077007112975337,1.0858516693115234
252,0.02820110321044922,0.043,0.0422937976920492,-0.041286263114433654,0.014517545700073242
253,0.02820110321044922,0.043,0.02577731938945445,-0.022618130188658773,0.0033681392669677734
254,-1.0,0.043,0.04017511687323427,1.0424291937711445,1.0884974002838135
255,0.025748014450073242,0.043,0.03802871194207016,0.019457829924506335,0.014135122299194336
256,0.027326107025146484,0.043,0.024390948996180647,0.0094469537151666,0.03704667091369629
257,-1.0,0.043,0.05647001310647971,1.0694381813655465,1.0845863819122314
258,0.025218725204467773,0.043,0.02415431674716758,0.04740975046250059,0.04770660400390625
259,-1.0,0.043,0.020984318402327222,1.119426498738632,1.0977404117584229
260,0.026244163513183594,0.043,0.02869345297285564,0.06109123086246866,0.05937075614929199
261,0.025218725204467773,0.043,0.025805037035528635,0.0289181409060417,0.01376795768737793
262,0.026244163513183594,0.043,0.040246859727169154,0.021150697800406418,0.03661155700683594
263,0.026244163513183594,0.043,0.030761098171495284,0.027271905514945106,0.02606964111328125
264,-1.0,0.043,0.02755570385428514,1.073073573191125,1.0733718872070312
265,0.024983882904052734,0.043,0.05324165957425266,0.048383549666423185,0.03649258613586426
266,-1.0,0.043,0.021637441970177612,1.065250509477146,1.0869817733764648
267,0.029557466506958008,0.043,0.02473485489259215,0.027731831748121636,0.045858144760131836
268,-1.0,0.043,0.02887957748813694,1.1176359694176967,1.0978331565856934
269,0.025201797485351562,0.043,0.04861580398103999,0.07631510198857047,0.05995798110961914
